"species","bcr","year","sector","subbasin_id","obs_population_sub","sector_impact_sub","sector_percent_impact_sub"
"CAWA","can14","2020","population_density",7060374950,6686,-2839,-42.46
"CAWA","can14","2020","population_density",7060035480,28386,1535,5.41
"CAWA","can14","2020","population_density",7060037340,56382,27478,48.74
"CAWA","can14","2020","population_density",7060364000,13770,1256,9.12
"CAWA","can14","2020","population_density",7060035470,78338,12720,16.24
"CAWA","can14","2020","population_density",7060034570,56661,12212,21.55
"CAWA","can14","2020","population_density",7060035870,74741,20114,26.91
"CAWA","can14","2020","population_density",7060038320,41518,5337,12.85
"CAWA","can14","2020","population_density",7060035860,65291,8054,12.34
"CAWA","can14","2020","population_density",7060034520,90448,1254,1.39
"CAWA","can14","2020","population_density",7060063860,27200,2853,10.49
"CAWA","can14","2020","population_density",7060034340,19090,-10172,-53.28
"CAWA","can14","2020","population_density",7060035320,7272,172,2.37
"CAWA","can14","2020","population_density",7060034870,38759,1343,3.46
"CAWA","can14","2020","population_density",7060035360,23295,504,2.16
"CAWA","can14","2020","rail",7060374950,6686,-148,-2.22
"CAWA","can14","2020","rail",7060035480,28386,310,1.09
"CAWA","can14","2020","rail",7060037340,56382,1483,2.63
"CAWA","can14","2020","rail",7060364000,13770,62,0.45
"CAWA","can14","2020","rail",7060035470,78339,1340,1.71
"CAWA","can14","2020","rail",7060034570,56662,737,1.3
"CAWA","can14","2020","rail",7060035870,74741,997,1.33
"CAWA","can14","2020","rail",7060038320,41518,445,1.07
"CAWA","can14","2020","rail",7060035860,65291,147,0.23
"CAWA","can14","2020","rail",7060034520,90452,1145,1.27
"CAWA","can14","2020","rail",7060063860,27200,207,0.76
"CAWA","can14","2020","rail",7060034340,19090,-151,-0.79
"CAWA","can14","2020","rail",7060035320,7272,11,0.14
"CAWA","can14","2020","rail",7060034870,38760,506,1.31
"CAWA","can14","2020","rail",7060035360,23296,351,1.51
"CAWA","can14","2020","roads",7060374950,6686,-2590,-38.74
"CAWA","can14","2020","roads",7060035480,28386,1801,6.35
"CAWA","can14","2020","roads",7060037340,56383,25590,45.39
"CAWA","can14","2020","roads",7060364000,13771,722,5.25
"CAWA","can14","2020","roads",7060035470,78346,11788,15.05
"CAWA","can14","2020","roads",7060034570,56670,12049,21.26
"CAWA","can14","2020","roads",7060035870,74742,19303,25.83
"CAWA","can14","2020","roads",7060038320,41519,4456,10.73
"CAWA","can14","2020","roads",7060035860,65292,6669,10.21
"CAWA","can14","2020","roads",7060034520,90457,3486,3.85
"CAWA","can14","2020","roads",7060063860,27200,2885,10.6
"CAWA","can14","2020","roads",7060034340,19090,-9282,-48.62
"CAWA","can14","2020","roads",7060035320,7272,-160,-2.2
"CAWA","can14","2020","roads",7060034870,38760,-4151,-10.71
"CAWA","can14","2020","roads",7060035360,23296,-4864,-20.88
